Form Name,Character,Font Name,Unicode
Form frmBo,SURIA SIDDHANDA BO,Times New Roman,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
Label Label1,0,-Win---Innwa,
